AHK runtime verification matrix
===== 2.0.2 (D:\Tech\Projects\Autohotkey\v2.0.2\AutoHotkey64.exe) =====
[2.0.2] tests\ahk_live_cross_smoke.ahk = PASS
[2.0.2] tests\ahk_live_test.ahk = PASS
[2.0.2] tests\ahk_live_product_test.ahk = PASS
[2.0.2] tests\ahk_live_six_test.ahk = PASS
[2.0.2] tests\ahk_live_benchmark.ahk = PASS
[2.0.2] tests\remote_hook_test.ahk = PASS
[2.0.2] tests\evalscript_inproc.ahk = PASS
[2.0.2] tests\evalscript_repeat.ahk = PASS
[2.0.2] tests\evalscript_class.ahk = PASS
[2.0.2] tests\eval_object_syntax_test.ahk = PASS
[2.0.2] tests\remote_empty_object_test.ahk = PASS
[2.0.2] tests\remote_empty_target_test.ahk = PASS
[2.0.2] tests\remote_deep_redirect_test.ahk = PASS

===== 2.0.3 (D:\Tech\Projects\Autohotkey\v2.0.3\AutoHotkey64.exe) =====
[2.0.3] tests\ahk_live_cross_smoke.ahk = PASS
[2.0.3] tests\ahk_live_test.ahk = PASS
[2.0.3] tests\ahk_live_product_test.ahk = PASS
[2.0.3] tests\ahk_live_six_test.ahk = PASS
[2.0.3] tests\ahk_live_benchmark.ahk = PASS
[2.0.3] tests\remote_hook_test.ahk = PASS
[2.0.3] tests\evalscript_inproc.ahk = PASS
[2.0.3] tests\evalscript_repeat.ahk = PASS
[2.0.3] tests\evalscript_class.ahk = PASS
[2.0.3] tests\eval_object_syntax_test.ahk = PASS
[2.0.3] tests\remote_empty_object_test.ahk = PASS
[2.0.3] tests\remote_empty_target_test.ahk = PASS
[2.0.3] tests\remote_deep_redirect_test.ahk = PASS

===== 2.0.4 (D:\Tech\Projects\Autohotkey\v2.0.4\AutoHotkey64.exe) =====
[2.0.4] tests\ahk_live_cross_smoke.ahk = PASS
[2.0.4] tests\ahk_live_test.ahk = PASS
[2.0.4] tests\ahk_live_product_test.ahk = PASS
[2.0.4] tests\ahk_live_six_test.ahk = PASS
[2.0.4] tests\ahk_live_benchmark.ahk = PASS
[2.0.4] tests\remote_hook_test.ahk = PASS
[2.0.4] tests\evalscript_inproc.ahk = PASS
[2.0.4] tests\evalscript_repeat.ahk = PASS
[2.0.4] tests\evalscript_class.ahk = PASS
[2.0.4] tests\eval_object_syntax_test.ahk = PASS
[2.0.4] tests\remote_empty_object_test.ahk = PASS
[2.0.4] tests\remote_empty_target_test.ahk = PASS
[2.0.4] tests\remote_deep_redirect_test.ahk = PASS

